####################################################
#
# INFORMACION SOBRE LAS PISTAS DISPONIBLES
#
####################################################

 PISTA|   FECHA|HORA_INICIO|HORA_FINAL
Pista1|20190604|      18:00|     19:00
Pista1|20190604|      19:00|     20:00
Pista3|20190604|      18:00|     19:00
Pista3|20190604|      19:00|     20:00
Pista1|20190605|      18:00|     19:00
Pista1|20190605|      19:00|     20:00
Pista3|20190605|      18:00|     19:00
Pista3|20190605|      19:00|     20:00
Pista1|20190606|      18:00|     19:00
Pista1|20190606|      19:00|     20:00
Pista3|20190606|      18:00|     19:00
Pista3|20190606|      19:00|     20:00
Pista1|20190611|      18:00|     19:00
Pista1|20190611|      19:00|     20:00
Pista3|20190611|      18:00|     19:00
Pista3|20190611|      19:00|     20:00
Pista1|20190612|      18:00|     19:00
Pista1|20190612|      19:00|     20:00
Pista3|20190612|      18:00|     19:00
Pista3|20190612|      19:00|     20:00
Pista1|20190613|      18:00|     19:00
Pista1|20190613|      19:00|     20:00
Pista3|20190613|      18:00|     19:00
Pista3|20190613|      19:00|     20:00
Pista1|20190618|      18:00|     19:00
Pista1|20190618|      19:00|     20:00
Pista3|20190618|      18:00|     19:00
Pista3|20190618|      19:00|     20:00
Pista1|20190619|      18:00|     19:00
Pista1|20190619|      19:00|     20:00
Pista3|20190619|      18:00|     19:00
Pista3|20190619|      19:00|     20:00
Pista1|20190620|      18:00|     19:00
Pista1|20190620|      19:00|     20:00
Pista3|20190620|      18:00|     19:00
Pista3|20190620|      19:00|     20:00
Pista1|20190625|      18:00|     19:00
Pista1|20190625|      19:00|     20:00
Pista3|20190625|      18:00|     19:00
Pista3|20190625|      19:00|     20:00
Pista1|20190626|      18:00|     19:00
Pista1|20190626|      19:00|     20:00
Pista3|20190626|      18:00|     19:00
Pista3|20190626|      19:00|     20:00
Pista1|20190627|      18:00|     19:00
Pista1|20190627|      19:00|     20:00
Pista3|20190627|      18:00|     19:00
Pista3|20190627|      19:00|     20:00
Pista1|20190702|      18:00|     19:00
Pista1|20190702|      19:00|     20:00
Pista3|20190702|      18:00|     19:00
Pista3|20190702|      19:00|     20:00
Pista1|20190703|      18:00|     19:00
Pista1|20190703|      19:00|     20:00
Pista3|20190703|      18:00|     19:00
Pista3|20190703|      19:00|     20:00
Pista1|20190704|      18:00|     19:00
Pista1|20190704|      19:00|     20:00
Pista3|20190704|      18:00|     19:00
Pista3|20190704|      19:00|     20:00
Pista1|20190709|      18:00|     19:00
Pista1|20190709|      19:00|     20:00
Pista3|20190709|      18:00|     19:00
Pista3|20190709|      19:00|     20:00
Pista1|20190710|      18:00|     19:00
Pista1|20190710|      19:00|     20:00
Pista3|20190710|      18:00|     19:00
Pista3|20190710|      19:00|     20:00
Pista1|20190711|      18:00|     19:00
Pista1|20190711|      19:00|     20:00
Pista3|20190711|      18:00|     19:00
Pista3|20190711|      19:00|     20:00
Pista1|20190716|      18:00|     19:00
Pista1|20190716|      19:00|     20:00
Pista3|20190716|      18:00|     19:00
Pista3|20190716|      19:00|     20:00
Pista1|20190717|      18:00|     19:00
Pista1|20190717|      19:00|     20:00
Pista3|20190717|      18:00|     19:00
Pista3|20190717|      19:00|     20:00
Pista1|20190718|      18:00|     19:00
Pista1|20190718|      19:00|     20:00
Pista3|20190718|      18:00|     19:00
Pista3|20190718|      19:00|     20:00
Pista1|20190723|      18:00|     19:00
