####################################################
#
# INFORMACION SOBRE LAS PISTAS DISPONIBLES
#
####################################################

 PISTA|   FECHA|HORA_INICIO|HORA_FINAL
Pista3|20191007|      18:00|     19:00
Pista3|20191007|      19:00|     20:00
Pista3|20191008|      18:00|     19:00
Pista3|20191008|      19:00|     20:00
Pista3|20191009|      18:00|     19:00
Pista3|20191009|      19:00|     20:00
Pista9|20191010|      18:00|     19:00
Pista9|20191010|      19:00|     20:00
Pista3|20191010|      18:00|     19:00
Pista3|20191010|      19:00|     20:00
Pista9|20191011|      15:00|     16:00
Pista9|20191011|      16:00|     17:00
Pista9|20191011|      17:00|     18:00
Pista3|20191014|      18:00|     19:00
Pista3|20191014|      19:00|     20:00
Pista3|20191015|      18:00|     19:00
Pista3|20191015|      19:00|     20:00
Pista3|20191016|      18:00|     19:00
Pista3|20191016|      19:00|     20:00
Pista9|20191017|      18:00|     19:00
Pista9|20191017|      19:00|     20:00
Pista3|20191017|      18:00|     19:00
Pista3|20191017|      19:00|     20:00
Pista9|20191018|      15:00|     16:00
Pista9|20191018|      16:00|     17:00
Pista9|20191018|      17:00|     18:00
Pista3|20191021|      18:00|     19:00
Pista3|20191021|      19:00|     20:00
Pista3|20191022|      18:00|     19:00
Pista3|20191022|      19:00|     20:00
Pista3|20191023|      18:00|     19:00
Pista3|20191023|      19:00|     20:00
Pista9|20191024|      18:00|     19:00
Pista9|20191024|      19:00|     20:00
Pista3|20191024|      18:00|     19:00
Pista3|20191024|      19:00|     20:00
Pista9|20191025|      15:00|     16:00
Pista9|20191025|      16:00|     17:00
Pista9|20191025|      17:00|     18:00
Pista3|20191028|      18:00|     19:00
Pista3|20191028|      19:00|     20:00
Pista3|20191029|      18:00|     19:00
Pista3|20191029|      19:00|     20:00
Pista3|20191030|      18:00|     19:00
Pista3|20191030|      19:00|     20:00
Pista9|20191031|      18:00|     19:00
Pista9|20191031|      19:00|     20:00
Pista3|20191031|      18:00|     19:00
Pista3|20191031|      19:00|     20:00
Pista7|20191031|      18:00|     19:00
Pista7|20191017|      19:00|     20:00
Pista7|20191024|      18:00|     19:00
Pista7|20191024|      19:00|     20:00
Pista3|20191111|      18:00|     19:00
Pista3|20191111|      19:00|     20:00
Pista3|20191112|      18:00|     19:00
Pista3|20191112|      19:00|     20:00
Pista3|20191113|      18:00|     19:00
Pista3|20191113|      19:00|     20:00
Pista7|20191114|      18:00|     19:00
Pista7|20191114|      19:00|     20:00
Pista3|20191114|      18:00|     19:00
Pista3|20191114|      19:00|     20:00
Pista7|20191115|      15:00|     16:00
Pista7|20191115|      16:00|     17:00
Pista7|20191115|      17:00|     18:00
Pista3|20191118|      18:00|     19:00
Pista3|20191118|      19:00|     20:00
Pista3|20191119|      18:00|     19:00
Pista3|20191119|      19:00|     20:00
Pista3|20191120|      18:00|     19:00
Pista3|20191120|      19:00|     20:00
Pista7|20191121|      18:00|     19:00
Pista7|20191121|      19:00|     20:00
Pista3|20191121|      18:00|     19:00
Pista3|20191121|      19:00|     20:00
Pista7|20191122|      15:00|     16:00
Pista7|20191122|      16:00|     17:00
Pista7|20191122|      17:00|     18:00
Pista3|20191126|      18:00|     19:00
Pista3|20191126|      19:00|     20:00
Pista3|20191127|      18:00|     19:00
Pista3|20191127|      19:00|     20:00
Pista7|20191128|      18:00|     19:00
Pista7|20191128|      19:00|     20:00
Pista3|20191128|      18:00|     19:00
Pista3|20191128|      19:00|     20:00
Pista7|20191129|      15:00|     16:00
Pista7|20191129|      16:00|     17:00
Pista7|20191129|      17:00|     18:00
Pista3|20191202|      18:00|     19:00
Pista3|20191202|      19:00|     20:00
Pista3|20191203|      18:00|     19:00
Pista3|20191203|      19:00|     20:00
Pista3|20191204|      18:00|     19:00
Pista3|20191204|      19:00|     20:00
Pista7|20191205|      18:00|     19:00
Pista7|20191205|      19:00|     20:00
Pista3|20191205|      18:00|     19:00
Pista3|20191205|      19:00|     20:00
Pista3|20191210|      18:00|     19:00
Pista3|20191210|      19:00|     20:00
Pista3|20191211|      18:00|     19:00
Pista3|20191211|      19:00|     20:00
Pista7|20191212|      18:00|     19:00
Pista7|20191212|      19:00|     20:00
Pista3|20191212|      18:00|     19:00
Pista3|20191212|      19:00|     20:00
Pista7|20191213|      15:00|     16:00
Pista7|20191213|      16:00|     17:00
Pista7|20191213|      17:00|     18:00
Pista3|20191216|      18:00|     19:00
Pista3|20191216|      19:00|     20:00
Pista3|20191217|      18:00|     19:00
Pista3|20191217|      19:00|     20:00
Pista3|20191218|      18:00|     19:00
Pista3|20191218|      19:00|     20:00
Pista7|20191219|      18:00|     19:00
Pista7|20191219|      19:00|     20:00
Pista3|20191219|      18:00|     19:00
Pista3|20191219|      19:00|     20:00
Pista7|20191220|      15:00|     16:00
Pista7|20191220|      16:00|     17:00
Pista7|20191220|      17:00|     18:00
