####################################################
#
# INFORMACION SOBRE LAS PISTAS DISPONIBLES
#
####################################################

 PISTA|   FECHA|HORA_INICIO|HORA_FINAL
Pista3|20200120|      18:00|     19:00
Pista3|20200120|      19:00|     20:00
Pista3|20200121|      18:00|     19:00
Pista3|20200121|      19:00|     20:00
Pista3|20200122|      18:00|     19:00
Pista3|20200122|      19:00|     20:00
Pista7|20200123|      18:00|     19:00
Pista7|20200123|      19:00|     20:00
Pista3|20200123|      18:00|     19:00
Pista3|20200123|      19:00|     20:00
Pista7|20200124|      15:00|     16:00
Pista7|20200124|      16:00|     17:00
Pista7|20200124|      17:00|     18:00
Pista3|20200203|      18:00|     19:00
Pista3|20200203|      19:00|     20:00
Pista3|20200204|      18:00|     19:00
Pista3|20200204|      19:00|     20:00
Pista3|20200205|      18:00|     19:00
Pista3|20200205|      19:00|     20:00
Pista7|20200206|      18:00|     19:00
Pista7|20200206|      19:00|     20:00
Pista3|20200206|      18:00|     19:00
Pista3|20200206|      19:00|     20:00
Pista7|20200207|      15:00|     16:00
Pista7|20200207|      16:00|     17:00
Pista7|20200207|      17:00|     18:00
Pista3|20200210|      18:00|     19:00
Pista3|20200210|      19:00|     20:00
Pista3|20200211|      18:00|     19:00
Pista3|20200211|      19:00|     20:00
Pista3|20200212|      18:00|     19:00
Pista3|20200212|      19:00|     20:00
Pista7|20200213|      18:00|     19:00
Pista7|20200213|      19:00|     20:00
Pista3|20200213|      18:00|     19:00
Pista3|20200213|      19:00|     20:00
Pista7|20200214|      15:00|     16:00
Pista7|20200214|      16:00|     17:00
Pista7|20200214|      17:00|     18:00
Pista3|20200217|      18:00|     19:00
Pista3|20200217|      19:00|     20:00
Pista3|20200218|      18:00|     19:00
Pista3|20200218|      19:00|     20:00
Pista3|20200219|      18:00|     19:00
Pista3|20200219|      19:00|     20:00
Pista7|20200220|      18:00|     19:00
Pista7|20200220|      19:00|     20:00
Pista3|20200220|      18:00|     19:00
Pista3|20200220|      19:00|     20:00
Pista7|20200221|      15:00|     16:00
Pista7|20200221|      16:00|     17:00
Pista7|20200221|      17:00|     18:00
Pista3|20200224|      18:00|     19:00
Pista3|20200224|      19:00|     20:00
Pista3|20200225|      18:00|     19:00
Pista3|20200225|      19:00|     20:00
Pista3|20200226|      18:00|     19:00
Pista3|20200226|      19:00|     20:00
Pista7|20200227|      18:00|     19:00
Pista7|20200227|      19:00|     20:00
Pista3|20200227|      18:00|     19:00
Pista3|20200227|      19:00|     20:00
Pista7|20200228|      15:00|     16:00
Pista7|20200228|      16:00|     17:00
Pista7|20200228|      17:00|     18:00
