####################################################
#
# INFORMACION SOBRE LAS PISTAS DISPONIBLES
#
####################################################

 PISTA|   FECHA|HORA_INICIO|HORA_FINAL
Pista3|20191007|      18:00|     19:00
Pista3|20191007|      19:00|     20:00
Pista3|20191008|      18:00|     19:00
Pista3|20191008|      19:00|     20:00
Pista9|20191009|      18:00|     19:00
Pista9|20191009|      19:00|     20:00
Pista3|20191009|      18:00|     19:00
Pista3|20191009|      19:00|     20:00
Pista3|20191010|      18:00|     19:00
Pista3|20191010|      19:00|     20:00
Pista9|20191011|      15:00|     16:00
Pista9|20191011|      16:00|     17:00
Pista9|20191011|      17:00|     18:00
Pista3|20191014|      18:00|     19:00
Pista3|20191014|      19:00|     20:00
Pista3|20191015|      18:00|     19:00
Pista3|20191015|      19:00|     20:00
Pista9|20191016|      18:00|     19:00
Pista9|20191016|      19:00|     20:00
Pista3|20191016|      18:00|     19:00
Pista3|20191016|      19:00|     20:00
Pista3|20191017|      18:00|     19:00
Pista3|20191017|      19:00|     20:00
Pista9|20191018|      15:00|     16:00
Pista9|20191018|      16:00|     17:00
Pista9|20191018|      17:00|     18:00
Pista3|20191021|      18:00|     19:00
Pista3|20191021|      19:00|     20:00
Pista3|20191022|      18:00|     19:00
Pista3|20191022|      19:00|     20:00
Pista9|20191023|      18:00|     19:00
Pista9|20191023|      19:00|     20:00
Pista3|20191023|      18:00|     19:00
Pista3|20191023|      19:00|     20:00
Pista3|20191024|      18:00|     19:00
Pista3|20191024|      19:00|     20:00
Pista9|20191025|      15:00|     16:00
Pista9|20191025|      16:00|     17:00
Pista9|20191025|      17:00|     18:00
Pista3|20191028|      18:00|     19:00
Pista3|20191028|      19:00|     20:00
Pista3|20191029|      18:00|     19:00
Pista3|20191029|      19:00|     20:00
Pista9|20191030|      18:00|     19:00
Pista9|20191030|      19:00|     20:00
Pista3|20191030|      18:00|     19:00
Pista3|20191030|      19:00|     20:00
Pista3|20191031|      18:00|     19:00
Pista3|20191031|      19:00|     20:00
